"SEQN","FPCA_score_1","FPCA_score_2","FPCA_score_3"
62577,214.735935035525,291.638596790855,102.693153841742
62579,405.718101161635,-100.906369469782,848.535779547895
62585,-1283.63872554267,122.275792386516,-7.47596256999346
62586,-574.240710019291,333.475004303541,-168.921925927097
62587,-441.050695193566,-65.8389289575233,208.686022247959
62589,23.4617732205979,-394.869037280731,491.229449438065
62593,-151.496714852513,47.9185736795949,208.572053854003
62596,195.913236073892,-378.730622751179,-207.54663542927
62597,-1139.14876086594,-93.3017852363322,-57.6392893844503
62599,104.523603690066,-196.711928704893,331.30947368139
62601,1093.39732847162,-866.129757128664,-408.474785837847
62602,738.91510499637,278.047557970907,-622.432283785487
62604,-611.219775655634,19.202342916529,218.753565952231
62619,-1594.76337254112,-12.7182661034047,6.17248472994041
62623,154.975628989668,-264.808315228816,468.526399554373
62625,431.224977930099,260.074393556865,-9.88356770431556
62630,-405.931409318581,-363.137801625164,294.407462346183
62633,1195.85344449429,-457.002425107646,188.697666323801
62634,-176.015240301997,-632.230939133976,86.9680063045477
62644,-614.970445927022,626.66356874467,-169.07705870974
62648,-1737.24818736286,122.524474875904,-9.27491611641134
62649,42.0229752853029,324.049096832366,259.865680484954
62650,-655.458519964856,-201.268143158824,135.678729915462
62651,98.7272964675615,566.449793310838,543.587515307056
62658,350.842579823749,792.008731409817,151.276162687733
62664,-701.795471615361,105.994463580883,71.2528421259758
62665,-3.78493769678709,-250.906079641379,212.520809816004
62671,512.3416600723,-1132.41147913764,-238.922701233906
62678,1351.58078979339,313.817102805673,318.814249725284
62680,1128.95373647143,6.82911549143465,22.92856965404
62682,-212.057891100921,431.941605652462,96.8946284604115
62683,-198.835231246826,-180.915855407231,32.3267616919409
62686,-1669.50314351886,102.709227557962,1.07450505706473
62693,-1365.07935913661,88.8836704669365,-109.340373625907
62704,-1144.45316520768,120.031634857535,-19.1532585748107
62714,-653.305196919242,-160.942243466756,277.021582407241
62717,1803.29037540465,-2605.35019984433,-672.109950281079
62718,-38.5818250199152,-315.642665589762,251.842619166674
62719,-90.1236781235987,-53.7513348677287,92.3554825415659
62720,-125.288089593214,22.0848586233246,87.3791616330871
62724,639.540577128955,-118.636427708355,117.853735324938
62727,-1239.73627356914,140.103740999067,-8.29537297149967
62732,88.4730149907453,132.891063686928,-427.214953475775
62734,-436.094846152254,-206.096260905529,57.7706489897636
62739,-240.571764937069,-539.368886962409,206.354344754036
62742,2530.8065798236,1541.81627884333,-149.021237765612
62745,762.071061813495,240.526156379475,-647.425646266188
62747,-363.410057855103,77.0481586420328,300.161148893186
62757,1640.64558131218,868.136235058108,-4.04862562869368
62761,1708.39388835418,344.568175178568,1259.25969007831
62764,-504.883545072675,-217.016307839271,-32.8531705276385
62792,-1047.07563260643,-75.2513191830134,-31.351624324632
62793,1018.89500985078,-21.662513077934,337.699688212598
62798,589.256187860616,-576.323995981774,176.997959107024
62804,417.37947732133,409.976143492182,10.3401818627535
62806,313.126953910868,-608.703984942333,-163.055067196014
62807,535.933762776079,364.783360689743,468.600326409715
62809,-1089.24750469691,-481.237250120942,-182.776530498001
62813,-984.34557314737,99.6654726069606,14.7703799279327
62814,-50.4797245923128,-52.4283421313586,84.7302367886181
62818,253.548852806725,720.529376608117,-30.4079046246882
62819,1458.40097281221,-516.230614065217,74.1022908165657
62821,1458.640454028,-852.52779043545,-55.8832248784724
62835,753.398808719738,728.838923746883,-6.60662212320492
62840,-862.43508328748,-33.9487672113408,-216.341290968289
62841,-1169.92227879101,110.373895547473,-14.1435217378718
62859,-751.438174546593,-618.925567106517,-162.472521370219
62860,766.16545706194,-980.499756232069,260.420143961391
62861,-489.307653160864,-54.6054578386391,-21.1315818306925
62864,-733.883354289197,-556.023164301607,-173.306287107203
62876,271.600043511907,-26.3674639173823,141.397291200008
62880,300.531941027998,-749.433401425423,-21.0459280482538
62881,1144.89045156458,-321.589148971641,387.975519709851
62882,683.492587630577,-858.060371589592,153.072873445108
62887,1347.13174008907,534.361766766761,74.6840741031036
62891,-1250.05885342324,166.95457409844,75.2426786718578
62892,-708.164941916085,-470.428243709983,44.7521519031672
62900,377.876619381743,961.907028851807,-222.487617260572
62901,438.254568967797,-936.451422892324,156.734336528359
62912,-1805.21249177259,104.729162265813,12.7532292863916
62924,-726.524278256923,58.3180661285066,99.7644596348549
62927,1192.08356861292,-14.2040126718689,390.299927315826
62929,-302.291822648295,-49.2855553764652,290.175238571778
62935,807.531338066917,1059.77988817762,-278.776653305355
62937,-610.625168947709,-87.4025450940017,-131.718441708866
62940,-276.97564483086,-140.190518686617,-33.9639558141143
62941,703.477415992757,-494.270169819009,-108.913584030385
62948,-1261.12829637876,203.111567261531,23.3701093743145
62958,259.0501651395,11.6216472211877,387.473230927384
62971,178.521423673398,-265.072606009145,-73.2858990962496
62979,106.087620787036,265.344409195155,339.210708535248
62982,290.885971004132,-865.962692354798,56.1714506408297
62985,807.518113376725,-363.004065211639,456.786478370329
62990,-475.115529495343,50.6864775379815,169.363268187868
62997,1323.94030748111,1107.95825146401,1007.35565735799
63000,839.817871414615,2512.46840223308,-2136.26049708225
63002,-71.3532189961784,564.575201608015,-504.297649974389
63006,1313.91585947672,635.920497512493,129.242245926885
