"FPCA_score_1","spline_1","spline_2"
4671.182,0.570629269585762,-0.0694408783153228
4672.182,0.570628650854807,-0.0693755572848779
4673.182,0.570628021164079,-0.0693102232711039
4674.182,0.570627380514826,-0.0692448762754797
4675.182,0.570626728908298,-0.069179516299484
4676.182,0.570626066345742,-0.0691141433445955
4677.182,0.570625392828407,-0.069048757412293
4678.182,0.570624708357541,-0.0689833585040554
4679.182,0.570624012934392,-0.0689179466213612
4680.182,0.570623306560208,-0.0688525217656893
4681.182,0.570622589236238,-0.0687870839385186
4682.182,0.570621860963731,-0.0687216331413277
4683.182,0.570621121743934,-0.0686561693755954
4684.182,0.570620371578095,-0.0685906926428005
4685.182,0.570619610467464,-0.0685252029444217
4686.182,0.570618838413288,-0.0684597002819377
4687.182,0.570618055416815,-0.0683941846568275
4688.182,0.570617261479294,-0.0683286560705697
4689.182,0.570616456601973,-0.0682631145246431
4690.182,0.570615640786101,-0.0681975600205264
4691.182,0.570614814032925,-0.0681319925596985
4692.182,0.570613976343695,-0.0680664121436381
4693.182,0.570613127719657,-0.0680008187738239
4694.182,0.570612268162061,-0.0679352124517348
4695.182,0.570611397672156,-0.0678695931788494
4696.182,0.570610516251188,-0.0678039609566466
4697.182,0.570609623900406,-0.0677383157866051
4698.182,0.570608720621059,-0.0676726576702037
4699.182,0.570607806414396,-0.0676069866089211
4700.182,0.570606881281663,-0.0675413026042362
4701.182,0.57060594522411,-0.0674756056576276
4702.182,0.570604998242985,-0.0674098957705742
4703.182,0.570604040339537,-0.0673441729445547
4704.182,0.570603071515012,-0.0672784371810477
4705.182,0.57060209177066,-0.0672126884815323
4706.182,0.57060110110773,-0.0671469268474871
4707.182,0.570600099527468,-0.0670811522803909
4708.182,0.570599087031125,-0.0670153647817224
4709.182,0.570598063619947,-0.0669495643529603
4710.182,0.570597029295183,-0.0668837509955836
4711.182,0.570595984058082,-0.0668179247110708
4712.182,0.570594927909891,-0.0667520855009009
4713.182,0.570593860851859,-0.0666862333665525
4714.182,0.570592782885235,-0.0666203683095044
4715.182,0.570591694011266,-0.0665544903312354
4716.182,0.570590594231202,-0.0664885994332243
4717.182,0.570589483546289,-0.0664226956169498
4718.182,0.570588361957777,-0.0663567788838907
4719.182,0.570587229466914,-0.0662908492355257
4720.182,0.570586086074947,-0.0662249066733336
4721.182,0.570584931783126,-0.0661589511987932
4722.182,0.570583766592699,-0.0660929828133832
4723.182,0.570582590504913,-0.0660270015185825
4724.182,0.570581403521018,-0.0659610073158697
4725.182,0.570580205642261,-0.0658950002067237
4726.182,0.570578996869891,-0.0658289801926231
4727.182,0.570577777205156,-0.0657629472750469
4728.182,0.570576546649304,-0.0656969014554736
4729.182,0.570575305203584,-0.0656308427353822
4730.182,0.570574052869244,-0.0655647711162513
4731.182,0.570572789647532,-0.0654986865995597
4732.182,0.570571515539696,-0.0654325891867863
4733.182,0.570570230546985,-0.0653664788794096
4734.182,0.570568934670648,-0.0653003556789087
4735.182,0.570567627911931,-0.065234219586762
4736.182,0.570566310272085,-0.0651680706044486
4737.182,0.570564981752356,-0.0651019087334472
4738.182,0.570563642353993,-0.0650357339752362
4739.182,0.570562292078245,-0.0649695463312948
4740.182,0.57056093092636,-0.0649033458031016
4741.182,0.570559558899586,-0.0648371323921355
4742.182,0.570558175999171,-0.064770906099875
4743.182,0.570556782226364,-0.064704666927799
4744.182,0.570555377582412,-0.0646384148773863
4745.182,0.570553962068566,-0.0645721499501157
4746.182,0.570552535686071,-0.0645058721474658
4747.182,0.570551098436177,-0.0644395814709155
4748.182,0.570549650320132,-0.0643732779219435
4749.182,0.570548191339185,-0.0643069615020287
4750.182,0.570546721494584,-0.0642406322126497
4751.182,0.570545240787576,-0.0641742900552853
4752.182,0.570543749219411,-0.0641079350314143
4753.182,0.570542246791336,-0.0640415671425155
4754.182,0.5705407335046,-0.0639751863900676
4755.182,0.570539209360451,-0.0639087927755494
4756.182,0.570537674360137,-0.0638423863004396
4757.182,0.570536128504907,-0.0637759669662171
4758.182,0.570534571796009,-0.0637095347743605
4759.182,0.570533004234691,-0.0636430897263487
4760.182,0.570531425822202,-0.0635766318236604
4761.182,0.57052983655979,-0.0635101610677744
4762.182,0.570528236448703,-0.0634436774601694
4763.182,0.570526625490189,-0.0633771810023243
4764.182,0.570525003685497,-0.0633106716957176
4765.182,0.570523371035875,-0.0632441495418284
4766.182,0.57052172754257,-0.0631776145421352
4767.182,0.570520073206833,-0.0631110666981169
4768.182,0.570518408029911,-0.0630445060112523
4769.182,0.570516732013051,-0.06297793248302
4770.182,0.570515045157503,-0.0629113461148989
4771.182,0.570513347464515,-0.0628447469083677
4772.182,0.570511638935335,-0.0627781348649052
4773.182,0.570509919571211,-0.0627115099859901
4774.182,0.570508189373391,-0.0626448722731013
4775.182,0.570506448343125,-0.0625782217277175
4776.182,0.570504696481659,-0.0625115583513175
4777.182,0.570502933790243,-0.0624448821453799
4778.182,0.570501160270125,-0.0623781931113836
4779.182,0.570499375922553,-0.0623114912508074
4780.182,0.570497580748774,-0.06224477656513
4781.182,0.570495774750039,-0.0621780490558302
4782.182,0.570493957927594,-0.0621113087243867
4783.182,0.570492130282689,-0.0620445555722782
4784.182,0.570490291816571,-0.0619777896009837
4785.182,0.570488442530489,-0.0619110108119819
4786.182,0.57048658242569,-0.0618442192067514
4787.182,0.570484711503424,-0.0617774147867711
4788.182,0.570482829764939,-0.0617105975535197
4789.182,0.570480937211482,-0.061643767508476
4790.182,0.570479033844303,-0.0615769246531188
4791.182,0.570477119664649,-0.0615100689889269
4792.182,0.570475194673769,-0.0614432005173789
4793.182,0.570473258872911,-0.0613763192399536
4794.182,0.570471312263323,-0.06130942515813
4795.182,0.570469354846254,-0.0612425182733865
4796.182,0.570467386622952,-0.0611755985872021
4797.182,0.570465407594664,-0.0611086661010556
4798.182,0.570463417762641,-0.0610417208164256
4799.182,0.570461417128129,-0.0609747627347909
4800.182,0.570459405692377,-0.0609077918576304
4801.182,0.570457383456633,-0.0608408081864227
4802.182,0.570455350422146,-0.0607738117226468
4803.182,0.570453306590164,-0.0607068024677812
4804.182,0.570451251961935,-0.0606397804233048
4805.182,0.570449186538708,-0.0605727455906963
4806.182,0.570447110321731,-0.0605056979714345
4807.182,0.570445023312251,-0.0604386375669982
4808.182,0.570442925511518,-0.0603715643788661
4809.182,0.570440816920779,-0.060304478408517
4810.182,0.570438697541283,-0.0602373796574297
4811.182,0.570436567374279,-0.0601702681270829
4812.182,0.570434426421014,-0.0601031438189554
4813.182,0.570432274682737,-0.060036006734526
4814.182,0.570430112160696,-0.0599688568752734
4815.182,0.570427938856139,-0.0599016942426764
4816.182,0.570425754770315,-0.0598345188382137
4817.182,0.570423559904471,-0.0597673306633641
4818.182,0.570421354259857,-0.0597001297196064
4819.182,0.570419137837721,-0.0596329160084193
4820.182,0.57041691063931,-0.0595656895312818
4821.182,0.570414672665874,-0.0594984502896723
4822.182,0.570412423918659,-0.0594311982850698
4823.182,0.570410164398916,-0.059363933518953
4824.182,0.570407894107891,-0.0592966559928007
4825.182,0.570405613046833,-0.0592293657080916
4826.182,0.570403321216991,-0.0591620626663045
4827.182,0.570401018619613,-0.0590947468689182
4828.182,0.570398705255947,-0.0590274183174115
4829.182,0.570396381127242,-0.058960077013263
4830.182,0.570394046234745,-0.0588927229579515
4831.182,0.570391700579705,-0.0588253561529559
4832.182,0.57038934416337,-0.058757976599755
4833.182,0.570386976986989,-0.0586905842998273
4834.182,0.570384599051809,-0.0586231792546518
4835.182,0.57038221035908,-0.0585557614657071
4836.182,0.570379810910049,-0.0584883309344722
4837.182,0.570377400705964,-0.0584208876624256
4838.182,0.570374979748075,-0.0583534316510463
4839.182,0.570372548037629,-0.0582859629018128
4840.182,0.570370105575875,-0.0582184814162041
4841.182,0.57036765236406,-0.0581509871956989
